no,city,gugun,companyname,industrycode,industryname,checkdate,checkdetail,address
237,서울특별시,성북구,삼덕세차장,22,폐수배출업소관리,20121026,배출 및 방지시설 적정운영 여부,
238,서울특별시,성북구,엣지주유소,22,폐수배출업소관리,20120920,배출및방지시설 정상가동 여부,
239,서울특별시,성북구,그린에너지(주)직영 종암주유소,22,폐수배출업소관리,20120920,배출및방지시설 정상가동 여부,
240,서울특별시,성북구,청백세차장,22,폐수배출업소관리,20120920,배출및 방지시설 정상가동 여부,
241,서울특별시,성북구,성진운수(주),22,폐수배출업소관리,20120823,폐수배출 및 방지시설 정상가동 여부,
242,서울특별시,성북구,삼우자동차서비스,21,,20120809,대기배출시설 및 방지시설 적정 가동 여부 등,
243,서울특별시,성북구,대륙여객자동차(주),22,,20120801,배출 및 방지시설 정상가동여부,
244,서울특별시,성북구,성진운수(주),22,,20120801,,
245,서울특별시,성북구,을지운수(주),22,,20120801,배출 및 방지시설 정상가동여부,
246,서울특별시,성북구,대왕기업(주),22,,20120801,배출 및 방지시설 정상가동 여부,
247,서울특별시,성북구,영도상운(주),22,,20120801,폐수배출시설 및 방지시설 적정가동 여부 등,
248,서울특별시,성북구,영광교통(주),22,,20120801,폐수배출시설 및 방지시설 적정가동여부,
249,서울특별시,성북구,대진여객(주),21,,20120711,대기배출시설 및 방지시설 적정 가동 여부 등,
250,서울특별시,성북구,대진여객(주),22,,20120711,폐수배출시설 및 방지시설 정상가동 여부 등,
251,서울특별시,성북구,대진여객(주),34,,20120711,법정준수사항 및 시설 준수 등,
252,서울특별시,성북구,동성자동차공업(주),21,대기배출업소관리,20120628,대기배출시설 및 방지시설 적정가동 여부 등,
253,서울특별시,성북구,고려개발-주,22,폐수배출업소관리,20120613,배출및방지시설 정상가동 여부,
254,서울특별시,성북구,(주)대양토건,22,폐수배출업소관리,20120613,배출및방지시설 정상가동 여부,
255,서울특별시,성북구,도원교통(주),21,대기배출업소관리,20120605,대기배출시설 및 방지시설 적정가동 여부 등,
256,서울특별시,성북구,현대자동차 안암점,22,,20120517,배출및방지시설 정상가동여부,
257,서울특별시,성북구,월곡윤활유급유소,22,,20120509,수질 및 수생택계보전에 관한 법류 위반 여부,
258,서울특별시,성북구,골프파크,22,,20120509,배출및가동시설 정상가동 여부 등,서울특별시 성북구 오패산로5길 9-14 (하월곡동)
259,서울특별시,성북구,월곡윤활유급유소,22,,20120503,수질 및 수생택계보전에 관한 법류 위반 여부,
260,서울특별시,성북구,그린자동차공업사,22,,20120503,배출및방지시설 정상가동여부,
261,서울특별시,성북구,그린자동차공업사,22,폐수배출업소관리,20120418,배출및방지시설 정상가동여부,
262,서울특별시,성북구,현대자동차 안암점,22,폐수배출업소관리,20120418,배출및방지시설 정상가동여부,
263,서울특별시,성북구,장석주유소,22,폐수배출업소관리,20120418,배출및방지시설 정상가동여부,
264,서울특별시,성북구,금호카세차장,22,폐수배출업소관리,20120412,배출및방지시설 정상가동여부,
265,서울특별시,성북구,보성세차장,22,폐수배출업소관리,20120412,배출및방지시설 정상가동 여부,
266,서울특별시,성북구,차병원,22,폐수배출업소관리,20120412,배출 및 방지시설 정상가동여부,
267,서울특별시,성북구,재원에너지(주)고대주유소,22,폐수배출업소관리,20120322,폐수배출및 방지시설 적정 가동여부,
268,서울특별시,성북구,금호카세차장,22,폐수배출업소관리,20120322,폐수배출 및 방지시설 적정 가동 여부,
269,서울특별시,성북구,영광교통(주),22,폐수배출업소관리,20120308,폐수배출시설 및 방지시설 적정가동여부,
270,서울특별시,성북구,화랑로주유소,22,폐수배출업소관리,20120308,배출시설 및 방지시설 적정가동여부,
271,서울특별시,성북구,현대자동차 안암점,22,폐수배출업소관리,20120308,폐수배출 및 방지시설 적정가동여부,
272,서울특별시,성북구,영도상운(주),22,,20120224,폐수배출시설 및 방지시설 적정가동 여부 등,
273,서울특별시,성북구,대왕기업(주),22,,20120224,배출 및 방지시설 정상가동 여부,
274,서울특별시,성북구,카맥24시셀프세차장,22,,20120224,배출 및 방지시설 정상가동여부,
275,서울특별시,성북구,한국과학기술연구원,22,,20120223,폐수배출시설 및 방지시설 적정 가동 여부 등,
276,서울특별시,성북구,영광교통(주),22,폐수배출업소관리,20120111,배출 및 방지시설 정상가동 여부,
277,서울특별시,성북구,대왕기업(주),22,폐수배출업소관리,20120110,배출 및 방지시설 정상가동 여부,
278,서울특별시,성북구,영도상운주식회사,22,폐수배출업소관리,20120110,배출 및 방지시설 정상가동 여부,
279,서울특별시,성북구,을지운수(주),22,폐수배출업소관리,20120110,배출 및 방지시설 정상가동여부,
280,서울특별시,성북구,성진운수(주),22,폐수배출업소관리,20120110,배출 및 방지시설 정상가동여부,
281,서울특별시,성북구,대륙여객자동차(주),22,폐수배출업소관리,20120110,배출 및 방지시설 정상가동여부,
282,서울특별시,성북구,석관동지하차고및스포츠센타,22,폐수배출업소관리,20111212,배출시설 및 방지시설 정상가동 여부,
283,서울특별시,성북구,(주)대양토건,22,폐수배출업소관리,20111212,배출 및 방지시설 정상가동 여부,
284,서울특별시,성북구,대한셀프세차장,22,폐수배출업소관리,20111205,배출 및 방지시설 정상가동 여부,
285,서울특별시,성북구,의료법인우신의료재단,22,폐수배출업소관리,20111117,폐수 및 배출시설 정상가동여부,
286,서울특별시,성북구,운양건설(주),22,폐수배출업소관리,20111117,배출 및 방지시설 정상가동여부,
287,서울특별시,성북구,서울척병원,22,폐수배출업소관리,20111107,배출 및 방지시설 정상가동 여부,
288,서울특별시,성북구,삼선주유소,22,폐수배출업소관리,20110930,배출시설 및 방지시설 정상가동 여부,
289,서울특별시,성북구,으뜸세차장,22,폐수배출업소관리,20110930,폐수배출시설 및 방지시설 정상가동 여부,
290,서울특별시,성북구,고려주유소,22,폐수배출업소관리,20110927,#NAME?,
291,서울특별시,성북구,도원교통(주),22,폐수배출업소관리,20110927,#NAME?,
292,서울특별시,성북구,매트로셀프세차장,22,폐수배출업소관리,20110927,#NAME?,
293,서울특별시,성북구,도원교통(주),22,폐수배출업소관리,20110926,폐수배출시설 및 방지시설 정상가동 여부 등,
294,서울특별시,성북구,대진여객(주),22,폐수배출업소관리,20110926,폐수배출시설 및 방지시설 정상가동 여부 등,
295,서울특별시,성북구,도원교통(주),21,대기배출업소관리,20110926,대기배출시설 및 방지시설 적정가동 여부 등,
296,서울특별시,성북구,우리주유소,22,폐수배출업소관리,20110926,폐수배출시설 및 방지시설 정상가동 여부 등,
297,서울특별시,성북구,대한셀프세차장,22,폐수배출업소관리,20110923,폐수배출시설 및 방지시설 정상가동 여부 등,
298,서울특별시,성북구,장위주유소,22,폐수배출업소관리,20110923,폐수배출시설 및 방지시설 정상가동 여부 등,
299,서울특별시,성북구,우리주유소,22,폐수배출업소관리,20110923,폐수배출시설 및 방지시설 정상가동 여부 등,
300,서울특별시,성북구,고려주유소,22,폐수배출업소관리,20110921,폐수배출시설 및 방지시설 정상가동 여부 등,
301,서울특별시,성북구,의료법인우신의료재단,22,폐수배출업소관리,20110921,폐수배출시설 및 방지시설 정상가동 여부 등,
302,서울특별시,성북구,GS칼텍스(주)직영 세창점,22,폐수배출업소관리,20110921,폐수배출시설 및 방지시설 정상가동 여부 등,
303,서울특별시,성북구,고려대학교(세차),22,폐수배출업소관리,20110921,폐수배출시설 및 방지시설 정상가동 여부 등,
